CLINICA MANNINA	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA APARELHO DIGESTIVO	CAMPINAS	Prata QC	RUA AMELIA BUENO 159	TAQUARAL	13076050	19-33052632;19-989219616;19-994294222;	
CLINICA MEIRELLES	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA APARELHO DIGESTIVO	CAMPINAS	Prata QC	RUA PADRE ALMEIDA 310	CAMBUI	13025250	19-32943114;	
CLINICA ROCHA	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA APARELHO DIGESTIVO	CAMPINAS	Prata QC	RUA VISCONDE DE TAUNAY 421	VILA ITAPURA	13023200	19-32351745;19-32351844;	CRM-SP 75615
HELDER CARDOSO SILVEIRA	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA APARELHO DIGESTIVO	CAMPINAS	Prata QC	RUA BARATA RIBEIRO 539	VILA ITAPURA	13023030	19-32320719;	CRM-SP 75962
INSTITUTO NOVA CAMPINAS	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA APARELHO DIGESTIVO	CAMPINAS	Prata QC	RUA ORLANDO FAGNANI 488	NOVA CAMPINAS	13092054		CRM-SP 100435
ASM - HOSPITAL MADRE THEODORA CAMPINAS	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA CARDIACA	CAMPINAS	Prata QC	RUA JOSE GERALDO CEREBINO CHRISTOFARO 175	PARQUE RURAL FAZENDA SANTA CANDIDA	13087567	19-30032704;	CRM-SP 84458
ASM - UNIDADE AVANCADA MADRE THEODORA	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA CARDIACA	CAMPINAS	Prata QC	AVENIDA DOUTOR MORAES SALLES 2371	NOVA CAMPINAS	13092111	19-30032704;	CRM-SP 930040
CASA DE SAUDE	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA CARDIACA	CAMPINAS	Prata QC	PRAÇA DOUTOR TOFFOLI 28	CENTRO	13015240	19-37363400;	CRM-SP 149367
DIAGNOSTICO CARDIOLOGICO	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA CARDIACA	CAMPINAS	Prata QC	RUA DUQUE DE CAXIAS 780	CENTRO	13015311	19-37435000;19-981343576;19-21218481;19-32322616;	CRM-SP 54089
DIAGNOSTICO CARDIOLOGICO	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA CARDIACA PEDIATRICA	CAMPINAS	Prata QC	RUA DUQUE DE CAXIAS 780	CENTRO	13015311	19-37435000;19-981343576;19-21218481;19-32322616;	CRM-SP 54089
ASM - HOSPITAL MADRE THEODORA CAMPINAS	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA CRANIO-MAXILO-FACIAL	CAMPINAS	Prata QC	RUA JOSE GERALDO CEREBINO CHRISTOFARO 175	PARQUE RURAL FAZENDA SANTA CANDIDA	13087567	19-30032704;	CRM-SP 84458
CASA DE SAUDE	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA CRANIO-MAXILO-FACIAL	CAMPINAS	Prata QC	PRAÇA DOUTOR TOFFOLI 28	CENTRO	13015240	19-37363400;	CRM-SP 149367
CL OTORRINO.E CIR.BUCO MAXILO FACIAIS	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA CRANIO-MAXILO-FACIAL	CAMPINAS	Prata QC	RUA BARATA RIBEIRO 79	CENTRO	13015097	19-32322665;19-32333577;	CRM-SP 94334
ASM - HOSPITAL MADRE THEODORA CAMPINAS	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA DE CABECA E PESCOCO	CAMPINAS	Prata QC	RUA JOSE GERALDO CEREBINO CHRISTOFARO 175	PARQUE RURAL FAZENDA SANTA CANDIDA	13087567	19-30032704;	CRM-SP 84458
ASM - UNIDADE AVANCADA MADRE THEODORA	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA DE CABECA E PESCOCO	CAMPINAS	Prata QC	AVENIDA DOUTOR MORAES SALLES 2371	NOVA CAMPINAS	13092111	19-30032704;	CRM-SP 930040
CASA DE SAUDE	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA DE CABECA E PESCOCO	CAMPINAS	Prata QC	PRAÇA DOUTOR TOFFOLI 28	CENTRO	13015240	19-37363400;	CRM-SP 149367
CLINICA DE OTORRINOLARINGOLOGIA DO INSTITUTO PENIDO BURNIER	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA DE CABECA E PESCOCO	CAMPINAS	Prata QC	AVENIDA ANDRADE NEVES 611	CENTRO	13013160	19-37391020;	CRM-SP 61691
JOSE HENRIQUE FIGUEIREDO RACHED	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA DE COLUNA	CAMPINAS	Prata QC	AVENIDA BARAO DE ITAPURA 385	BOTAFOGO	13020430	19-32314110;19-32349498;	CRM-SP 64247
S. C. SERV MED - CTO DE NEUR DE CAMPINAS	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA DE COLUNA	CAMPINAS	Prata QC	AVENIDA FRANCISCO GLICERIO 2331	VILA ITAPURA	13023101	19-989320044;	
ASM - HOSPITAL MADRE THEODORA CAMPINAS	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA GERAL	CAMPINAS	Prata QC	RUA JOSE GERALDO CEREBINO CHRISTOFARO 175	PARQUE RURAL FAZENDA SANTA CANDIDA	13087567	19-30032704;	CRM-SP 84458
ASM - UNIDADE AVANCADA MADRE THEODORA	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA GERAL	CAMPINAS	Prata QC	AVENIDA DOUTOR MORAES SALLES 2371	NOVA CAMPINAS	13092111	19-30032704;	CRM-SP 930040
MULTI CLINICAS	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA GERAL	CAMPINAS	Prata QC	RUA AMERICANA 127	JARDIM NOVO CAMPOS ELISEOS	13050551	19-32275711;	
CASA DE SAUDE	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA GERAL	CAMPINAS	Prata QC	PRAÇA DOUTOR TOFFOLI 28	CENTRO	13015240	19-37363400;	CRM-SP 149367
CENTER MED	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA GERAL	CAMPINAS	Prata QC	RUA PADRE ALMEIDA 614	CAMBUI	13025251	19-32547812;	
CLINICA AUN	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA GERAL	CAMPINAS	Prata QC	RUA BARAO DE ATIBAIA 80	VILA ITAPURA	13023010	19-32325825;19-32327268;	CRM-SP 94323
CLINICA MEIRELLES	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA GERAL	CAMPINAS	Prata QC	RUA PADRE ALMEIDA 310	CAMBUI	13025250	19-32943114;	
GRUPO SURGICAL	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA GERAL	CAMPINAS	Prata QC	AVENIDA BARAO DE ITAPURA 2323	JARDIM GUANABARA	13073300	19-33259132;19-33957411;	
