CLINICA DE GASTROENTEROLOGIA E PROCTOLOGIA DE CAMPINAS	CONSULTORIOS - CLINICAS - TERAPIAS	GASTROENTEROLOGIA	RUA JOSE PAULINO 2223	VILA ITAPURA	13023102	19-32332844;19-32540952;	
CLINICA MANNINA	CONSULTORIOS - CLINICAS - TERAPIAS	GASTROENTEROLOGIA	RUA AMELIA BUENO 159	TAQUARAL	13076050	19-33052632;19-989219616;19-994294222;	
CLINICA MEDICA MEDEIROS	CONSULTORIOS - CLINICAS - TERAPIAS	GASTROENTEROLOGIA	RUA FREI ANTONIO DE PADUA 1263	JARDIM GUANABARA	13073330	19-32435917;19-32038272;19-998246994;	
CLINICA MEDICA SAUDE E VIDA	CONSULTORIOS - CLINICAS - TERAPIAS	GASTROENTEROLOGIA	AVENIDA WASHINGTON LUIS 2480	VILA MARIETA	13042105	19-38492132;19-971269380;	
HEP CENTRO SERVICOS MEDICOS	CONSULTORIOS - CLINICAS - TERAPIAS	GASTROENTEROLOGIA	AVENIDA ANDRADE NEVES 2412	JARDIM CHAPADAO	13070001	19-32121513;	CRM
SYMCO MEDICINA	CONSULTORIOS - CLINICAS - TERAPIAS	GASTROENTEROLOGIA	RUA CORONEL QUIRINO 1483	CAMBUI	13025002	19-32556764;19-994715639;	
GISELLE BRAGA JARA	CONSULTORIOS - CLINICAS - TERAPIAS	GASTROENTEROLOGIA PEDIATRICA	RUA IBRAIN NOBRE 526	VILA CARLITO	13043070	19-32766444;19-32769685;	CRM-SP 119967
CENTRO DE DESOSPITALIZACAO HUMANA - VIVER	CONSULTORIOS - CLINICAS - TERAPIAS	GENETICA MEDICA	RUA CAMARGO PAES 776	JARDIM GUANABARA	13073350	19-25116989;19-25126989;	CRM-SP 51466
CAMILA REBELO NICOLAU	CONSULTORIOS - CLINICAS - TERAPIAS	GENETICA MEDICA	RUA LUIZ SPIANDORELLI NETO 60	LOTEAMENTO PAIQUERE	13271570	19-32992112;	CRM-SP 122809
CASA DE SAUDE	CONSULTORIOS - CLINICAS - TERAPIAS	GERIATRIA	PRAÇA DOUTOR TOFFOLI 28	CENTRO	13015240	19-37363400;	CRM-SP 149367
CLINICA LIBERMAN	CONSULTORIOS - CLINICAS - TERAPIAS	GERIATRIA	AVENIDA ANDRADE NEVES 699	CENTRO	13013161	19-32324811;19-32324811;	
CLINICA MEDICA MEDEIROS	CONSULTORIOS - CLINICAS - TERAPIAS	GERIATRIA	RUA FREI ANTONIO DE PADUA 1263	JARDIM GUANABARA	13073330	19-32435917;19-32038272;19-998246994;	
ASM - HOSPITAL MADRE THEODORA CAMPINAS	CONSULTORIOS - CLINICAS - TERAPIAS	GINECOLOGIA	RUA JOSE GERALDO CEREBINO CHRISTOFARO 175	PARQUE RURAL FAZENDA SANTA CANDIDA	13087567	19-30032704;	CRM-SP 84458
ASM - UNIDADE AVANCADA MADRE THEODORA	CONSULTORIOS - CLINICAS - TERAPIAS	GINECOLOGIA	AVENIDA DOUTOR MORAES SALLES 2371	NOVA CAMPINAS	13092111	19-30032704;	CRM-SP 930040
ALBA CRISTINA SALVI	CONSULTORIOS - CLINICAS - TERAPIAS	GINECOLOGIA	AVENIDA ANCHIETA 623	CENTRO	13015101	19-32316517;19-32341940;19-994708940;	CRM-SP 72310
BB INOCHI CONSULTORIO MEDICO LTDA	CONSULTORIOS - CLINICAS - TERAPIAS	GINECOLOGIA	RUA MARLENE PIATO CONTE 888	PARQUE RESIDENCIAL COLINA DO SOL	13270540	19-38494302;	CRM-RJ 5200859150
CASA DE SAUDE	CONSULTORIOS - CLINICAS - TERAPIAS	GINECOLOGIA	PRAÇA DOUTOR TOFFOLI 28	CENTRO	13015240	19-37363400;	CRM-SP 149367
